"Chemical, Pharmacological or Therapeutic subgroup
(ATC
classification)","International Non‐proprietary Name (active
ingredient)","Active ingredient name in Ukrainian language
(Cyrillic
alphabet)","Brand name in Ukraine Cyrillic alphabet","Brand name in Ukraine (Latin alphabet)","Manufacturer","Dosage form
in Ukrainian language (Cyrillic alphabet)","Dosage form (in English)","Information for patients in Ukrainian","Chemical, Pharmacological or Therapeutic subgroup (ATC
classification)","International Non‐ proprietary Name (active
ingredient)","Active ingredient name in Ukrainian language (Cyrillic
alphabet)","Brand name in Ukraine (Cyrillic alphabet)","Chemical, Pharmacological or Therapeutic
subgroup
(ATC classification)","Dosage form in Ukrainian
language (Cyrillic alphabet)","Informatio n for patients in Ukrainian","Dosage form in Ukrainian language (Cyrillic
alphabet)","...1","...2","...3","...4","...5","...6","‐ 0.06 мг/0,015 мг, (жовті таблетки);
‐ плацебо (зелені
таблетки);","‐ 0.06 mg / 0.015 mg (yellow tablets);
‐ placebo (green
pills);","...9","G03AA12","Drospirenone / Ethinylestradiol","Дроспіренон /
Естрадіол","ЛІБЕРАТТІ®","LIBERATTI®","Лабораторіос Леон Фарма, С.А., Іспанія","таблетки, по 3
мг/0,02 мг;","tablets, 3 mg / 0.02 mg;","https://compendium. com.ua/info/337142/
liberatti/","G03AA16","Dienogest / Ethinylestradiol","Дієногест /
Етинілестрадіол","СИЛУЕТ®","SILUETTE®","ВАТ ""Гедеон Ріхтер"", Угорщина","таблетки, по 2
мг/0,03 мг;","tablets, 2 mg / 0.03 mg;","https://compendium. com.ua/info/200618/
siluet‐sup‐sup‐/","G03AD01","Levonorgestrel","Левоноргестрел","ЛЕРГЕСАН","LERGESUN","Сан Фармасьютикал Індастріз Лтд., Індія","таблетки, по 0,75
мг; 1,5 мг;¤","tablets, 0.75 mg; 1.5 mg;","https://compendium. com.ua/info/452740/
lergesan/","Ukrainian alphabet","Latin alphabet","Position in a word","Examples...4","Examples...5"
"R03B B04","Tiotropium bromide","Тіотропію бромід","СПІРИВА® РЕСПІМА
Т®","SPIRIVA®RESPIMAT®","Берінгер Інгельхайм Фарма ГмбХ і Ко. КГ,
Нiмеччина","розчин для інгаляцій, 2,5 мкг/інгаляцію, по 4 мл у картриджі (60
інгаляцій);","solution for inhalation, 2.5 μg / inhalation, 4 ml in a cartridge
(60 inhalations);","https://compendium.com.ua/info/
172922/spiriva-sup-sup- respimat-sup-sup-/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03AL02","Salbutamol / Ipratropium bromide","Сальбутамол / Iпратропію бромід,","ІПРАТРОПІЙ‐ САЛЬБУТАМОЛ‐ ТЕВА","IPRATROPIUM‐ SALBUTAMOL‐TEVA","АЙВЕКС
Фармаcьютикалз ЮК","розчин для розпилення по 2,5 мл в ампулах № 20 (5х4) у пакетиках
з ламінованої
фольги","2.5 ml spray solution in ampoules № 20 (5x4) in laminated foil
bags","https://mozdocs.kiev.ua/likiview.ph p?id=43218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A L03","Vilanterol and umeclidinium bromide","Вілантерол та умеклідінію бромід","АНОРО™ ЕЛЛІПТА™","ANORO™ ELLIPTA™","Глаксо Оперейшнс ЮК Лімітед,
Великобританія","порошок для інгаляцій, дозований, по 55 мкг/22 мкг/дозу; по 30
доз у
інгаляторі;","powder for inhalation, dosed, 55 μg / 22 μg / dose; 30 doses in the
inhaler;","https://compendium.com.ua/info/2
55238/anoro‐ellipta‐/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"AMINAZIN","ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу"",
Україна","розчин для ін'єкцій, 25
мг/мл по 2 мл в ампулі;","solution for injection, 25 mg / ml in 2 ml ampoules","https://compendium.co m.ua/info/1637/13256/","N05AA01","Chlorpromazine","Хлорпромазин","АМІНАЗИН",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"AMINAZIN ZDOROVYE ‐","ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу"",
Україна","‐ табл. по 25 мг, 50 мг, 100 мг;","‐ tablet. 25 mg, 50 mg,
100 mg","https://compendium.co m.ua/info/60153/amina
zin‐zdorov_e/","N05AA01","Chlorpromazine","Хлорпромазин","АМІНАЗИН‐ЗДОРОВ’Я",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TISERCIN®","ЗАТ
Фармацевтичний завод ЕГІС,
Угорщина","розчин для ін'єкцій, 25
мг/мл по 1 мл в ампулі;
‐ табл. по 25 мг;","solution for injection, 25 mg / ml 1 ml in an ampoule; ‐ tablet.
2 5
mg;","https://compendium.co m.ua/info/11824/tizertsi
n‐sup‐sup‐/","N05AA02","Levomepromazine","Левомепромазин","ТИЗЕРЦИН®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MODITEN DEPO","КРКА, д.д., Ново место, Словенія","розчин для ін'єкцій, 25
мг/мл по 1 мл в ампулі;","solution for injection, 25 mg / ml 1 ml in an
ampoule;","https://compendium.co m.ua/info/12160/","N05AB02","Fluphenazine","Флуфеназин","МОДИТЕН ДЕПО",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"VERTINEX®","КУСУМ ХЕЛТХКЕР
ПВТ ЛТД, Індія","‐ табл. по 5 мг;","‐ tablet. 5 mg","https://compendium.co m.ua/info/220097/verti

neks‐sup‐sup‐/","N05AB04","Prochlorperazine","Прохлорперазин","ВЕРТИНЕКС®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TRIFTAZIN‐ DARNITSA","ПрАТ
""Фармацевтична фірма ""Дарниця"",
Україна","розчин для ін'єкцій, 2
мг/мл по 1 мл в ампулі;","solution for injection, 2 mg / ml 1 ml in an ampoule;","https://compendium.co m.ua/info/2143/triftazin
‐darnitsa/","N05AB06","Trifluoperazine","Трифлуоперазин","ТРИФТАЗИН‐ДАРНИЦЯ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"‐","Фармзавод Єльфа А.Т., Польща","‐ табл. по 10 мг;","‐ tablet. 10 mg","https://compendium.co m.ua/info/1366/sonapa

ks‐sup‐sup‐/","N05AC02","Thioridazine","Тіоридазин","СОНАПАКС ® 10 МГ СОНАПАКС ® 25 МГ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HALOPERIDOL DECANOATE","ВАТ ""Гедеон Ріхтер"", Угорщина","розчин для ін'єкцій, 50
мг/мл, по 1 мл в ампулі;","solution for injection, 50 mg / ml, 1 ml in an
ampoule","https://compendium.co m.ua/info/167876/","N05AD01","Haloperidol","Галоперидол","ГАЛОПЕРИДОЛ ДЕКАНО АТ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HALOPERIDOL FORTE","ВАТ ""Гедеон Ріхтер"", Угорщина","‐ табл. по 5 мг;","‐ tablet. 5 mg","https://compendium.co m.ua/info/167874/galop

eridol‐tabletki/","N05AD01","Haloperidol","Галоперидол","ГАЛОПЕРИДОЛ ФОРТЕ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HALOPERIDOL‐ RICHTER","ВАТ ""Гедеон Ріхтер"", Угорщина","‐ розчин для ін'єкцій, 5
мг/мл, по 1 мл в ампулі;
‐ табл. по 1,5 мг;","solution for injection, 5 mg / ml, 1 ml in an ampoule;
‐ tablet. 1.5 mg,","https://compendium.co m.ua/info/167874/galop
eridol‐tabletki/","N05AD01","Haloperidol","Галоперидол","ГАЛОПЕРИДОЛ‐РІХТЕР",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HALOPRIL","ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу"",
Україна","‐ розчин для ін'єкцій, 5 мг/мл, по 1 мл в ампулі; по 1 мл в
ампулі;
‐ табл. по 1,5 мг;","solution for injection, 5 mg / ml, 1 ml in an ampoule; 1 ml in an
ampoule;
‐ tablet. 1.5 mg","https://compendium.co m.ua/info/9348/167653

/","N05AD01","Haloperidol","Галоперидол","ГАЛОПРИЛ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HALOPRIL FORTE","ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу"",
Україна","‐ табл. по 5 мг;","‐ tablet. 5 mg,","https://compendium.co m.ua/info/200293/1676
55/","N05AD01","Haloperidol","Галоперидол","ГАЛОПРИЛ ФОРТЕ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ZELDOX®","Р‐Фарм Джермані ГмбХ, Німеччина; Пфайзер Фармасьютікалз
ЛЛС, США","‐ капсули по 20 мг, 40
мг; 80 мг;","‐ capsules of 20 mg, 40
mg; 80 mg","https://compendium.co m.ua/info/168951/zeldo
ks‐sup‐sup‐/","N05AE04","Ziprasidone","Зипразидон","ЗЕЛДОКС®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SERDOLECT®","Х. Лундбек А/С, Данія","‐ табл. по 4 мг; 12 мг;","‐ tablet. 4 mg; 12 mg ;","https://compendium.co m.ua/info/170383/serd

olekt/","N05AE03","Sertindole","Сертиндол","СЕРДОЛЕКТ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"FLUANXOL®","Х. Лундбек А/С, Данія","‐ табл. по 0,5 мг; 1 мг;","‐ tablet. 0.5 mg each; 1 mg ,","https://compendium.co m.ua/info/133581/fljua
nksol/","N05AF01","Flupenthixol","Флюпентиксол","ФЛЮАНКСОЛ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"FLUANXOL® DEPOT)","Х. Лундбек А/С, Данія","розчин для ін'єкцій, 20
мг/мл, по 1 мл в ампулі;","solution for injection, 20 mg / ml, 1 ml in an
ampoule;","https://compendium.co m.ua/info/133581/2903
1/","N05AF01","Flupenthixol","Флюпентиксол","ФЛЮАНКСОЛ ДЕПО",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TRUXAL®","Х. Лундбек А/С, Данія","‐ табл. по 25 мг; 50 мг;","‐ tablet. 2 5 mg; 50 mg","https://compendium.co m.ua/info/131871/truks

al/","N05AF03","Chlorprothixene","Хлорпротиксен","ТРУКСАЛ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"CLOPIXOL®","Х. Лундбек А/С, Данія","‐ табл. по 2 мг; 10 мг;","‐ tablet. 2 mg ; 10 mg","https://compendium.co m.ua/info/133565/klopi

ksol/","N05AF05","Zuclopenthixol","Зуклопентиксол","КЛОПІКСОЛ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"CLOPIXOL® DEPOT","Х. Лундбек А/С, Данія","розчин для ін'єкцій, 200
мг/мл по 1 мл в ампулі;","solution for injection, 200 mg / ml 1 ml in an
ampoule","https://compendium.co m.ua/info/133565/2901
8/","N05AF05","Zuclopenthixol","Зуклопентиксол","КЛОПІКСОЛ ДЕПО",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"CLOPIXOL‐ ACUPHASE®)","Х. Лундбек А/С, Данія","розчин для ін'єкцій, 50
мг/мл по 1 мл в ампулі;","solution for injection, 50 mg / ml 1 ml in an
ampoule;","https://compendium.co m.ua/info/133565/2902
0/","N05AF05","Zuclopenthixol","Зуклопентиксол","КЛОПІКСОЛ‐АКУФАЗ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ADASUVE","Алексза Фармасьютікалс, Інк.","порошок для інгаляцій дозований, 9,1 мг/дозу у пакеті № 1 та
інгалятором ;","powder for inhalation dosed, 9.1 mg / dose in a package № 1 and
inhaler","https://mozdocs.kiev.ua
/likiview.php?id=42100","N05AH01","Loxapine","Локсапін","АДАСУВ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"AZALEPTOL","ПрАТ ""Технолог"",
Україна","‐ табл. по 25 мг, по 100
мг;","‐ tablet. 25 mg, 100 mg","https://compendium.co m.ua/info/166110/azale

ptol/","N05AH02","Clozapine","Клозапін","АЗАЛЕПТОЛ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"AZAPIN","АТ ""Київський вітамінний завод"",
Україна","‐ табл. по 25 мг, по 100
мг;","‐ tablet. 25 mg, 100 mg","","N05AH02","Clozapine","Клозапін","АЗАПІН",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ZALASTA®","КРКА, д.д., Ново место, Словенія","‐ табл. по 2,5 мг; 5 мг; 7,5 мг; 10 мг, 15 мг; 20
мг;","‐ tablet. 2.5 mg each; 5
mg; 7.5 mg; 10 mg , 15
mg; 20 mg.","https://compendium.co m.ua/info/200336/","N05AH03","Olanzapine","Оланзапін","ЗАЛАСТА®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ZOLAFREN","АТ ""Адамед Фарма","‐ табл. по 5 мг; 10 мг;","‐ tablet. 5 mg; 10 mg;","https://compendium.co m.ua/info/168952/zolaf

ren/","N05AH03","Olanzapine","Оланзапін","ЗОЛАФРЕН",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"EGOLANZA®","ЗАТ
Фармацевтичний завод ЕГІС,
Угорщина","‐ табл. по 5 мг; 7,5 мг; 10 мг; 15 мг; 20 мг;","‐ tablet. 5 mg ; 7.5 mg; 10
mg , 15 mg; 20 mg.","","N05AH03","Olanzapine","Оланзапін","ЕГОЛАНЗА",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"OLAСIN","Дженефарм С.А.,
Греція","‐ табл. по 5 мг; 10 мг;","‐ tablet. 5 mg; 10 mg;","","N05AH03","Olanzapine","Оланзапін","ОЛАСІН®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"OLFREX","НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш.,
Туреччина","‐ табл. по 5 мг; 10 мг;","‐ tablet. 5 mg; 10 mg;","","N05AH03","Olanzapine","Оланзапін","ОЛФРЕКС",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"KVENTIAX®","КРКА, д.д., Ново место, Словенія","‐ табл. по 25 мг, 100 мг, 200 мг, 300 мг","‐ tablet. 25 mg, 100 mg,
200 mg, 300 mg","https://compendium.co m.ua/info/328298/kvent

iaks/","N05AH04","Quetiapine","Кветіапін","КВЕНТІАКС®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"QUETIXOL","Актавіс Лтд.,
Мальта","‐ табл. по 25 мг, 100 мг,
200 мг;","‐ tablet. 25 mg, 100 mg,
200 mg","","N05AH04","Quetiapine","Кветіапін","КВЕТИКСОЛ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"QUETIRON 25
QUETIRON 100
QUETIRON 200","ТОВ ""Фарма Старт"", Україна","‐ табл. по 100 мг;","‐ tablet. 100 mg;","","N05AH04","Quetiapine","Кветіапін","КВЕТИРОН 25
КВЕТИРОН 100
КВЕТИРОН 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"QUETIRON XR
ACINO","ФАРМАТЕН
ІНТЕРНЕШНЛ С.А.","‐ табл. по 50 мг; 150
мг;300 мг ;","‐ tablet. 50 mg; 150 mg;
300 mg;","","N05AH04","Quetiapine","Кветіапін","КВЕТИРОН® XR АСІНО",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"QUETIPIN","Фармасайнс Інк.,
Канада","‐ табл. по 25 мг, 100 мг,
200 мг, 300 мг ;","‐ tablet. 25 mg, 100 mg,
200 mg, 300 mg;","","N05AH04","Quetiapine","кветіапін","КВЕТІПІН",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"KETILEPT®","АТ
Фармацевтичний завод ЕГІС,
Угорщина","‐ табл. по 25 мг;100 мг; 200 мг;","‐ tablet. 25 mg; 100 mg;
200 mg;","","N05AH04","Quetiapine","Кветіапін","КЕТИЛЕПТ®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"KETILEPT® RETARD","ЗАТ
Фармацевтичний завод ЕГІС,
Угорщина","‐ табл. по 50 мг, 150 мг, 200 мг, 300 мг, 400 мг","‐ tablet. 50 mg, 150 mg,
200 mg, 300 mg, 400 mg","","N05AH04","Quetiapine","Кветіапін","КЕТИЛЕПТ® РЕТАРД",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SEROQUEL XR","АстраЗенека ЮК Лімітед,
Великобританія","‐ табл. по 50 мг; 200 мг; 300 мг; 400 мг","‐ tablet. 50 mg ; 20 0 mg;
300 mg; 400 mg","","N05AH04","Quetiapine","Кветіапін","СЕРОКВЕЛЬ XR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"‐","Алкем Лабораторіз Лтд, Індія","‐ табл. по 25 мг, 100 мг, 200 мг; 300 мг;","‐ tablet. 25 mg, 100 mg,
200 mg; 300 mg;","","N05AH04","Quetiapine","Кветіапін","КЮ‐ПІН 25
КЮ‐ПІН 100;
КЮ‐ПІН 200;
КЮ‐ПІН 300;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"EGLONYL®","ДЕЛЬФАРМ ДІЖОН","‐ табл. по 200 мг;
‐ розчин для ін'єкцій,
100 мг/2 мл","‐ tablet. 200 mg,
‐ solution for injection,
100 mg / 2 ml","https://compendium.co m.ua/info/423634/eglon
il‐kapsuly/","N05AL01","Sulpiride","Сульпірид","ЕГЛОНІЛ®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SULPIRID‐ZN","ТОВ "" Харківське фармацевтичне підприємство ""Здоров'я
народу"",
Україна","‐ табл. по 50 мг; 200 мг;","‐ tablet. 50 mg ; 20 0 mg","","N05AL01","Sulpiride","Сульпірид","СУЛЬПІРИД‐ЗН",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"BETAMAKS","АТ ""Гріндекс"",
Латвія","‐ табл. по150 мг; 100 мг;","‐ tablet. 150 mg, 100 mg","","N05AL01","Sulpiride","Сульпірид","БЕТАМАКС",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TIAPRILAN®","Г.Л. Фарма ГмбХ,
Австрія","‐ табл. по 100 мг;","‐ tablet. 100 mg","","N05AL03","Tiapride","Тіаприд","ТІАПРІЛАН®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TIAPROSAN®","ПРО.МЕД.ЦС Прага
а.с","‐ табл. по 100 мг;","‐ tablet. 100 mg","https://compendium.co m.ua/info/173073/tiapri

lan/","N05AL03","Tiapride","Тіаприд","ТІАПРОСАН®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"AKTIPROL","Медокемі ЛТД,
Кіпр","‐ табл. по 100 мг; 200
мг;","‐ tablet. 100 mg, 200 mg","https://compendium.co
m.ua/info/359668/","N05AL05","Amisulpride","Амісульприд","АКТІПРОЛ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SOLEX®","Рівофарм СА,
Швейцарія","‐ табл. по 100 мг; 200
мг; 400 мг;","‐ tablet. 100 mg each ;
200 mg; 400 mg","","N05AL05","Amisulpride","Амісульприд","СОЛЕКС®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SOLERON 100;
SOLERON 200;","ТОВ ""Фарма
Старт"", Україна","‐ табл. по 100 мг або
200 мг;","‐ tablet. 100 mg or 200
mg;","","N05AL05","Amisulpride","Амісульприд","СОЛЕРОН 100;
СОЛЕРОН 200;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SOLIAN®","Юнітер Ліквід Мануфекчурінг, Франція","розчин для перорального застосування, 100 мг/мл
№ 1 (по 60 мл у
флаконі) ;","solution for oral administration, 100 mg / ml № 1 (60 ml per
vial)","","N05AL05","Amisulpride","Амісульприд","СОЛІАН®",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"GLUTALIT","ПАТ ""НВЦ
""Борщагівський хіміко‐ фармацевтичний
завод"", Україна","капсули по 300 мг;","capsules of 300 mg","https://compendium.co m.ua/info/168167/","N05AN01","Lithium","Літію γ‐ гідроглутамінат","ГЛЮТАЛІТ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"NEIRISPIN‐ ZDOROVYE","ТОВ
""Фармацевтична компанія ""Здоров'я"",
Україна","‐ табл. по 1 мг; 2 мг; 4
мг;","‐ tablet. 1 mg; 2 mg; 4 mg","https://compendium.co m.ua/info/168348/nejris
pin‐zdorov_e/","N05AX08","Risperidone","Рисперидон","НЕЙРИСПІН‐ЗДОРОВ’Я",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
